address_id,Longitude,Latitude,Start_date,End_date
1,-116.46900539013517,47.93898327448181,2023-05-25,2023-06-02
2,-76.80284344528755,33.17288156590286,2023-09-01,2023-09-02
3,-74.39483120763344,38.97107733939639,2023-06-27,2023-07-05
4,-112.87981525532346,32.02802618461111,2023-11-13,2023-11-20
5,-94.20967368102302,46.79203023210379,2023-02-24,2023-03-09
6,-92.77565742321504,34.16715675643311,2023-05-01,2023-05-09
7,-112.72539102837422,34.05170285214757,2023-10-07,2023-10-20
8,-107.3235526232748,42.76907080157586,2023-04-22,2023-04-29
9,-91.97540902860982,45.976041998679534,2023-12-23,2024-01-08
10,-93.02479758526792,38.15850985120868,2023-09-14,2023-09-29
11,-110.99165790910835,44.5166771652998,2023-01-07,2023-01-10
12,-70.25630394412153,31.06992654648043,2023-07-19,2023-08-07
13,-89.95472627735401,43.1129010504788,2023-02-15,2023-03-02
14,-100.93788499132263,29.818491924245784,2023-05-13,2023-05-30
15,-117.17092743009546,41.6761405564261,2023-05-20,2023-06-12
16,-123.16286362831488,42.98260879269145,2023-07-13,2023-07-18
17,-68.08786896668556,32.32018892862152,2023-01-08,2023-01-12
18,-96.83233767514191,26.58829080156885,2023-10-04,2023-10-21
19,-89.33858951404794,40.68655993148364,2023-05-08,2023-05-19
20,-123.56195337545644,31.39858772208937,2023-10-15,2023-11-10
21,-97.99821158574524,30.64083364190461,2023-04-30,2023-05-17
22,-75.20330624224084,42.37848415157293,2023-05-14,2023-05-18
23,-111.25704068719624,29.814812183739143,2023-11-24,2023-12-20
24,-77.53402289207108,36.53152027473303,2023-05-15,2023-06-08
25,-116.75404848074204,25.314739895810423,2023-01-12,2023-02-10
26,-83.27688967223884,27.116753771598013,2023-05-20,2023-06-03
27,-97.77444532188504,41.522917752352015,2023-02-15,2023-03-09
28,-120.0900287621789,36.473628651673664,2023-06-13,2023-07-04
29,-93.53869921376824,38.42641789058815,2023-07-19,2023-07-24
